§º·´ÅÍ§ÃÒÂà¢µ	¢éÍÁÙÅ»Ñ¨¨ØºÑ¹(04.08.201717:50:19)
¼Ñ§ºÑ­ªÕ	¼Ñ§ºÑ­ªÕ ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
ÃËÑÊºÃÔÉÑ·	9000 ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
àÅ¢·ÕèºÑ­ªÕ	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	ÂÍ´ÃÇÁ ¡¿À.
	§Ç´   1-   1;&N1	§Ç´   1-   1;&N2	§Ç´   1-   1;&N3	§Ç´   1-   1;&E1	§Ç´   1-   1;&E2	§Ç´   1-   1;&E3	§Ç´   1-   1;&C1	§Ç´   1-   1;&C2	§Ç´   1-   1;&C3	§Ç´   1-   1;&S1	§Ç´   1-   1;&S2	§Ç´   1-   1;&S3	§Ç´   1-   1;&Y000	§Ç´   1-   1;&Z000	§Ç´   1-   1;&BLANK	
áÊ´§ã¹	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB
11040580   C/A KTB 76403-1 ·§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040581   C/A KTB 76403-1 ·§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040590   C/A KTB 90813-5 ÁÍ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040591   C/A KTB 90813-5 ÁÍ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040600   C/A KTB 43653-2 ÎÍ´	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040601   C/A KTB 43653-2 ÎÍ´	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040610   C/A KTB 00124-6 ¹Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040611   C/A KTB 00124-6 ¹Å.	              64.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              64.00
11040760   C/A KTB 00776-5 ¾Å.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040761   C/A KTB 00776-5 ¾Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040770   C/A KTB 00778-1 ¾Å.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040771   C/A KTB 00778-1 ¾Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040780   C/A KTB 00736-9 Ç·.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040781   C/A KTB 00736-9 Ç·.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040790   C/A KTB 00901-8 ºÃ¡.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040791   C/A KTB 00901-8 ºÃ¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040800   C/A KTB 00225-1 ¹·.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040801   C/A KTB 00225-1 ¹·.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040810   C/A KTB 00023-1 ¾¾Ã.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040811   C/A KTB 00023-1 ¾¾Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040820   C/A KTB 00444-3 Ê·.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040821   C/A KTB 00444-3 Ê·.	               0.00	               8.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               8.00
11040830   C/A KTB 00111-3 ÈÃ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040831   C/A KTB 00111-3 ÈÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040840   C/A KTB 00352-9 ¡¡Å.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040841   C/A KTB 00352-9 ¡¡Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040850   C/A KTB 01918-1 µ¡.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040851   C/A KTB 01918-1 µ¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040870   C/A KTB 00403-1 ¡¾.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040871   C/A KTB 00403-1 ¡¾.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040880   C/A KTB 00863-3 ¤¢Å.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040881   C/A KTB 00863-3 ¤¢Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040890   C/A KTB 01408-7 ¢³.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040891   C/A KTB 01408-7 ¢³.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040910   C/A KTB 00917-6 Å¡º.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040911   C/A KTB 00917-6 Å¡º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040930   C/A KTB 03007-3 ¾¨.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040931   C/A KTB 03007-3 ¾¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040950   C/A KTB 04255-0 Íµ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040951   C/A KTB 04255-0 Íµ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040960   C/A KTB 00088-1 ¾ª.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040961   C/A KTB 00088-1 ¾ª.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040970   C/A KTB 00350-7 ¹».	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040971   C/A KTB 00350-7 ¹».	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11040980   C/A KTB 00001-1 ¾Ã.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11040981   C/A KTB 00001-1 ¾Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041020   C/A KTB 00237-9 ÅÍ§	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041021   C/A KTB 00237-9 ÅÍ§	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041050   C/A KTB 00002-2 ¹èÒ¹	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041051   C/A KTB 00002-2 ¹èÒ¹	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041080   C/A KTB 00001-7 ÁÊ´.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041081   C/A KTB 00001-7 ÁÊ´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041090   C/A KTB 01510-7 µË.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041091   C/A KTB 01510-7 µË.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041100   C/A KTB 02039-4 ºÁ¹.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041101   C/A KTB 02039-4 ºÁ¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041110   C/A KTB 00477-9 ¾·Å.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041111   C/A KTB 00477-9 ¾·Å.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041120   C/A KTB 01342-5 ·¤.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041121   C/A KTB 01342-5 ·¤.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041130   C/A KTB 01800-5 ÊÇÅ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041131   C/A KTB 01800-5 ÊÇÅ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041140   C/A KTB 04266-7 ÇºÁ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041141   C/A KTB 04266-7 ÇºÁ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041150   C/A KTB 16102-0 ÇÂÊ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041151   C/A KTB 16102-0 ÇÂÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041160   C/A KTB 67140-6 »ÑÇ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041161   C/A KTB 67140-6 »ÑÇ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041170   C/A KTB 28363-3 ÈÊ.	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041171   C/A KTB 28363-3 ÈÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041180   C/A KTB 27139-9 ºµ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041181   C/A KTB 27139-9 ºµ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041190   C/A KTB 23153-0 ¾¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041191   C/A KTB 23153-0 ¾¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041510   C/A KTB 00158-6 Åº.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041511   C/A KTB 00158-6 Åº.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041520   C/A KTB 00219-1 Åº.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041521   C/A KTB 00219-1 Åº.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041530   C/A KTB 00009-0 ·Ç§.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041531   C/A KTB 00009-0 ·Ç§.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041540   C/A KTB 00219-9 ¾².	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041541   C/A KTB 00219-9 ¾².	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041550   C/A KTB 00577-1 ¹Ç.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041551   C/A KTB 00577-1 ¹Ç.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041570   C/A KTB 02098-1 ªÊ§.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041571   C/A KTB 02098-1 ªÊ§.	               0.00	               0.00	               8.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               8.00
11041590   C/A KTB 00807-4 º¾Ê.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041591   C/A KTB 00807-4 º¾Ê.	               0.00	               0.00	           -4713.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -4713.10
11041600   C/A KTB 00488-1 ¾¤.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041601   C/A KTB 00488-1 ¾¤.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041610   C/A KTB 00716-5 Í¹.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041611   C/A KTB 00716-5 Í¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041630   C/A KTB 00980-5 ª¹.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041631   C/A KTB 00980-5 ª¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041650   C/A KTB 00547-0ËÑ¹¤Ò	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041651   C/A KTB 00547-0ËÑ¹¤Ò	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041660   C/A KTB 00556-5 Ê¤º.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041661   C/A KTB 00556-5 Ê¤º.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041680   C/A KTB 00039-7 ÊË.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041681   C/A KTB 00039-7 ÊË.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041690   C/A KTB 00561-8 ÍºÃ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041691   C/A KTB 00561-8 ÍºÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041710   C/A KTB 00041-8 ¾ª.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041711   C/A KTB 00041-8 ¾ª.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041720   C/A KTB 03096-0 ¹¼.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041721   C/A KTB 03096-0 ¹¼.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041730   C/A KTB 00277-7 ÇÃ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041731   C/A KTB 00277-7 ÇÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041740   C/A KTB 00036-9 º§Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041741   C/A KTB 00036-9 º§Ê.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041750   C/A KTB 01262-4 ¤ÊÃ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041751   C/A KTB 01262-4 ¤ÊÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041760   C/A KTB 01543-4 ªº´.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041761   C/A KTB 01543-4 ªº´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041770   C/A KTB 00792-7 ºÁ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041771   C/A KTB 00792-7 ºÁ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041780   C/A KTB 02619-3 ÅÁÊ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041781   C/A KTB 02619-3 ÅÁÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041800   C/A KTB 02681-2 µ¤.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041801   C/A KTB 02681-2 µ¤.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041810   C/A KTB 01176-6 ÅÂÇ.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041811   C/A KTB 01176-6 ÅÂÇ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041820   C/A KTB 01765-4 ª´.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
11041821   C/A KTB 01765-4 ª´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041830   C/A KTB 86877-9 ·¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041831   C/A KTB 86877-9 ·¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11041840   C/A KTB 02571-8 ¹Á§.	               0.00	               0.00	            1000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1000.00
